Artist,Title,Date,Image
LEFT BOY,The Return Of,2025-11-23 20:14:37+01:00,https://www.verticalradio.ch/media/image/9/medium_1_1/left-20boy-the-20return-20of.jpg.webp?824c700c82609545a6577dd47e2cd8c3=
AMYL AND THE SNIFFERS,U Should Not Be Doing That,2025-11-23 20:11:12+01:00,
U2,One,2025-11-23 20:06:40+01:00,https://www.verticalradio.ch/media/image/0/medium_1_1/u2-one.jpg.webp?54247ef7dfa2a7e84a85cbd364a5188d=
CLEOPATRICK,Guts,2025-11-23 20:03:17+01:00,https://www.verticalradio.ch/media/image/13/medium_1_1/cleopatrick-guts.jpg.webp?1b4dd07d01e3bcb79e29c83d4255ed54=
GUNS N' ROSES,Don't Cry,2025-11-23 19:58:26+01:00,https://www.verticalradio.ch/media/image/9/medium_1_1/guns-20n-20roses-don-t-20cry.jpg.webp?d8455f365d86b5f9ca237e219cb5200a=
GOOD CHARLOTTE,Mean,2025-11-23 19:55:34+01:00,https://www.verticalradio.ch/media/image/12/medium_1_1/good-20charlotte-rejects.jpg.webp?9b88e7b9c016abd28fccba45f0a524ae=
FOALS,Birch Tree,2025-11-23 19:51:46+01:00,https://www.verticalradio.ch/media/image/10/medium_1_1/foals-birch-20tree.jpg.webp?842afd3bb58216e45d76c209024a1dfd=
ARCY DRIVE,Thrift Store,2025-11-23 19:49:32+01:00,https://www.verticalradio.ch/media/image/11/medium_1_1/arcy-20drive-thrift-20store.jpg.webp?0e31b1c50b5ee7df8815867815aa5e4f=
THE FRATELLIS,Chelsea Dagger,2025-11-23 19:45:49+01:00,https://www.verticalradio.ch/media/image/9/medium_1_1/the-20fratellis-chelsea-20dagger.jpg.webp?494b48092531b870ea0452918367759f=
VELVET TWO STRIPES,Fire 2.0,2025-11-23 19:42:52+01:00,
MARILYN MANSON,Kill4me,2025-11-23 19:38:49+01:00,https://www.verticalradio.ch/media/image/9/medium_1_1/marilyn-20manson-kill4me.jpg.webp?bb11a0f6692e297ccf5908a986325a52=
DEAD ON A SUNDAY,Dance Like Hell,2025-11-23 19:34:54+01:00,https://www.verticalradio.ch/media/image/13/medium_1_1/dead-20on-20a-20sunday-dance-20like-20hell.jpg.webp?536abeb0c17383872625746097521bd8=
OASIS,Whatever,2025-11-23 19:28:49+01:00,https://www.verticalradio.ch/media/image/9/medium_1_1/oasis-whatever.jpg.webp?b9c236708e96af16b3d185033b8d8ec9=
FAUN,Nimue,2025-11-23 19:24:12+01:00,https://www.verticalradio.ch/media/image/13/medium_1_1/faun-nimue.jpg.webp?fa622edbc7d969d036e407931275f481=
THE CLASH,London Calling,2025-11-23 19:20:53+01:00,https://www.verticalradio.ch/media/image/9/medium_1_1/the-20clash-london-20calling.jpg.webp?2a18fd11dd8c8d4df7e90e70e843647c=
